index,example,question_context,choices,path
0,1,drawstring,military,drawstring --PartOf--> drawstring bag --AtLocation--> military
1,1,drawstring,jewelry,[]
2,1,drawstring,jewelry store,drawstring --PartOf--> drawstring bag --AtLocation--> jewelry store
3,1,drawstring,safe,drawstring --PartOf--> drawstring bag --AtLocation--> safe
4,1,drawstring,store,drawstring --PartOf--> drawstring bag --AtLocation--> store
5,1,drawstring,garbage,[]
6,1,drawstring,airport,drawstring --PartOf--> drawstring bag --AtLocation--> airport
7,1,heading,military,heading <--HasContext-- siege --HasContext--> military
8,1,heading,jewelry,heading <--HasContext-- metal --RelatedTo--> jewelry
9,1,heading,jewelry store,[]
10,1,heading,safe,heading <--HasContext-- home --RelatedTo--> safe
11,1,heading,store,heading <--HasContext-- keep --MannerOf--> store
12,1,heading,garbage,heading <--HasContext-- sink --RelatedTo--> garbage
13,1,heading,airport,[]
14,1,baggage,military,baggage --HasContext--> military
15,1,baggage,jewelry,baggage --IsA--> case --RelatedTo--> jewelry
16,1,baggage,jewelry store,[]
17,1,baggage,safe,[]
18,1,baggage,store,baggage <--IsA-- purse --AtLocation--> store
19,1,baggage,garbage,baggage <--RelatedTo-- curb service --RelatedTo--> garbage
20,1,baggage,airport,baggage --AtLocation--> airport
21,1,drawstring bag,military,drawstring bag --AtLocation--> military
22,1,drawstring bag,jewelry,drawstring bag --AtLocation--> jewelry store <--AtLocation-- jewelry
23,1,drawstring bag,jewelry store,drawstring bag --AtLocation--> jewelry store
24,1,drawstring bag,safe,drawstring bag --AtLocation--> safe
25,1,drawstring bag,store,drawstring bag --AtLocation--> store
26,1,drawstring bag,garbage,drawstring bag --AtLocation--> garbage can --DerivedFrom--> garbage
27,1,drawstring bag,airport,drawstring bag --AtLocation--> airport
28,1,wa,military,wa --HasContext--> u --HasA--> military
29,1,wa,jewelry,[]
30,1,wa,jewelry store,[]
31,1,wa,safe,wa --RelatedTo--> being <--RelatedTo-- safe
32,1,wa,store,[]
33,1,wa,garbage,wa --HasContext--> u <--HasContext-- garbage
34,1,wa,airport,[]
35,1,checked,military,checked --HasContext--> north america <--HasContext-- military
36,1,checked,jewelry,[]
37,1,checked,jewelry store,[]
38,1,checked,safe,[]
39,1,checked,store,[]
40,1,checked,garbage,[]
41,1,checked,airport,[]
42,1,woman,military,woman <--DerivedFrom-- infantrywoman --HasContext--> military
43,1,woman,jewelry,woman <--RelatedTo-- necklace --IsA--> jewelry
44,1,woman,jewelry store,[]
45,1,woman,safe,woman <--RelatedTo-- shelter <--RelatedTo-- safe
46,1,woman,store,woman <--RelatedTo-- purse --AtLocation--> store
47,1,woman,garbage,woman --RelatedTo--> person --NotDesires--> garbage
48,1,woman,airport,woman <--RelatedTo-- bar --AtLocation--> airport
49,1,only baggage,military,[]
50,1,only baggage,jewelry,[]
51,1,only baggage,jewelry store,[]
52,1,only baggage,safe,[]
53,1,only baggage,store,[]
54,1,only baggage,garbage,[]
55,1,only baggage,airport,[]
56,1,bag,military,bag --RelatedTo--> game --HasContext--> military
57,1,bag,jewelry,bag <--RelatedTo-- case --RelatedTo--> jewelry
58,1,bag,jewelry store,bag <--IsA-- drawstring bag --AtLocation--> jewelry store
59,1,bag,safe,bag <--IsA-- drawstring bag --AtLocation--> safe
60,1,bag,store,bag --RelatedTo--> store
61,1,bag,garbage,bag --AtLocation--> trash --SimilarTo--> garbage
62,1,bag,airport,bag <--RelatedTo-- case --RelatedTo--> airport
63,2,cancelled,wa,[]
64,2,cancelled,certain,[]
65,2,cancelled,worried,[]
66,2,cancelled,catch,[]
67,2,cancelled,flu,[]
68,2,party,wa,party <--RelatedTo-- christmas --RelatedTo--> wa
69,2,party,certain,party --RelatedTo--> very <--RelatedTo-- certain
70,2,party,worried,party --IsA--> person --NotDesires--> worried
71,2,party,catch,party --RelatedTo--> game <--IsA-- catch
72,2,party,flu,party --IsA--> person --NotDesires--> flu
73,2,wa,wa,wa
74,2,wa,certain,wa --RelatedTo--> being <--RelatedTo-- certain
75,2,wa,worried,[]
76,2,wa,catch,[]
77,2,wa,flu,[]
78,2,cause,wa,cause --RelatedTo--> side --RelatedTo--> wa
79,2,cause,certain,cause --RelatedTo--> happen <--RelatedTo-- certain
80,2,cause,worried,[]
81,2,cause,catch,cause <--Synonym-- get --MannerOf--> catch
82,2,cause,flu,cause <--RelatedTo-- disease --RelatedTo--> flu
83,2,host,wa,[]
84,2,host,certain,[]
85,2,host,worried,[]
86,2,host,catch,host --HasContext--> computing <--HasContext-- catch
87,2,host,flu,host <--AtLocation-- disease --RelatedTo--> flu
88,3,incriminating,enemy,[]
89,3,incriminating,blackmailed,[]
90,3,incriminating,man,[]
91,3,incriminating,his enemy,[]
92,3,incriminating,avoided,[]
93,3,enemy,enemy,enemy
94,3,enemy,blackmailed,[]
95,3,enemy,man,enemy --RelatedTo--> guy --IsA--> man
96,3,enemy,his enemy,[]
97,3,enemy,avoided,enemy --RelatedTo--> person --NotDesires--> avoided
98,3,man,enemy,man --RelatedTo--> guy <--RelatedTo-- enemy
99,3,man,blackmailed,[]
100,3,man,man,man
101,3,man,his enemy,[]
102,3,man,avoided,man --RelatedTo--> person --NotDesires--> avoided
103,3,uncovered,enemy,[]
104,3,uncovered,blackmailed,[]
105,3,uncovered,man,[]
106,3,uncovered,his enemy,[]
107,3,uncovered,avoided,[]
108,3,evidence,enemy,evidence <--Desires-- person <--RelatedTo-- enemy
109,3,evidence,blackmailed,[]
110,3,evidence,man,evidence <--RelatedTo-- manufacture --RelatedTo--> man
111,3,evidence,his enemy,[]
112,3,evidence,avoided,evidence <--Desires-- person --NotDesires--> avoided
113,3,result,enemy,result <--RelatedTo-- issue --RelatedTo--> enemy
114,3,result,blackmailed,[]
115,3,result,man,result <--RelatedTo-- work <--MannerOf-- man
116,3,result,his enemy,[]
117,3,result,avoided,result <--Desires-- person --NotDesires--> avoided
118,3,happened,enemy,[]
119,3,happened,blackmailed,[]
120,3,happened,man,happened <--RelatedTo-- history --RelatedTo--> man
121,3,happened,his enemy,[]
122,3,happened,avoided,[]
123,3,his enemy,enemy,[]
124,3,his enemy,blackmailed,[]
125,3,his enemy,man,[]
126,3,his enemy,his enemy,[]
127,3,his enemy,avoided,[]
128,4,parent,clean,parent <--RelatedTo-- organization --RelatedTo--> clean
129,4,parent,mess,parent --IsA--> animal <--RelatedTo-- mess
130,4,parent,having,parent <--RelatedTo-- adopt --RelatedTo--> having
131,4,parent,trouble,parent --RelatedTo--> act <--RelatedTo-- trouble
132,4,parent,party,parent --AtLocation--> party
133,4,parent,punish,[]
134,4,parent,alex,parent <--CreatedBy-- baby <--IsA-- alex
135,4,his house,clean,[]
136,4,his house,mess,[]
137,4,his house,having,[]
138,4,his house,trouble,[]
139,4,his house,party,[]
140,4,his house,punish,[]
141,4,his house,alex,[]
142,4,happen,clean,happen <--RelatedTo-- do <--HasPrerequisite-- clean
143,4,happen,mess,[]
144,4,happen,having,happen <--RelatedTo-- regret --DistinctFrom--> having
145,4,happen,trouble,happen --RelatedTo--> circumstance <--RelatedTo-- trouble
146,4,happen,party,happen <--RelatedTo-- offer <--RelatedTo-- party
147,4,happen,punish,happen <--RelatedTo-- cause <--RelatedTo-- punish
148,4,happen,alex,[]
149,4,town,clean,town <--AtLocation-- river --RelatedTo--> clean
150,4,town,mess,town <--AtLocation-- church <--RelatedTo-- mess
151,4,town,having,town --RelatedTo--> farm --RelatedTo--> having
152,4,town,trouble,town <--RelatedTo-- hell --IsA--> trouble
153,4,town,party,town <--RelatedTo-- bar --RelatedTo--> party
154,4,town,punish,town <--RelatedTo-- provost --RelatedTo--> punish
155,4,town,alex,[]
156,4,his parents,clean,[]
157,4,his parents,mess,[]
158,4,his parents,having,[]
159,4,his parents,trouble,[]
160,4,his parents,party,[]
161,4,his parents,punish,[]
162,4,his parents,alex,[]
163,4,told,clean,[]
164,4,told,mess,[]
165,4,told,having,[]
166,4,told,trouble,[]
167,4,told,party,[]
168,4,told,punish,[]
169,4,told,alex,[]
170,4,party,clean,party <--RelatedTo-- fair --Synonym--> clean
171,4,party,mess,party --RelatedTo--> mess
172,4,party,having,party --RelatedTo--> having
173,4,party,trouble,party --RelatedTo--> game <--RelatedTo-- trouble
174,4,party,party,party
175,4,party,punish,party --UsedFor--> relaxing <--HasLastSubevent-- punish
176,4,party,alex,party --IsA--> person <--IsA-- alex
177,4,alex's parents,clean,[]
178,4,alex's parents,mess,[]
179,4,alex's parents,having,[]
180,4,alex's parents,trouble,[]
181,4,alex's parents,party,[]
182,4,alex's parents,punish,[]
183,4,alex's parents,alex,[]
184,4,alex,clean,alex --IsA--> person --Desires--> clean
185,4,alex,mess,[]
186,4,alex,having,[]
187,4,alex,trouble,[]
188,4,alex,party,alex --IsA--> person <--IsA-- party
189,4,alex,punish,[]
190,4,alex,alex,alex
191,4,house,clean,house <--PartOf-- shower --RelatedTo--> clean
192,4,house,mess,house --RelatedTo--> four <--RelatedTo-- mess
193,4,house,having,house <--RelatedTo-- castellated --RelatedTo--> having
194,4,house,trouble,house <--AtLocation-- board game <--RelatedTo-- trouble
195,4,house,party,house <--RelatedTo-- party
196,4,house,punish,house <--RelatedTo-- ground --RelatedTo--> punish
197,4,house,alex,house <--AtLocation-- baby <--IsA-- alex
198,5,harvard,read,[]
199,5,harvard,harvard,harvard
200,5,harvard,away,[]
201,5,harvard,apply,harvard --IsA--> college <--RelatedTo-- apply
202,5,harvard,entry,[]
203,5,harvard,letter,[]
204,5,harvard,throw,[]
205,5,want,read,want --DistinctFrom--> have <--MannerOf-- read
206,5,want,harvard,[]
207,5,want,away,want --MannerOf--> be --RelatedTo--> away
208,5,want,apply,want --DistinctFrom--> pot --RelatedTo--> apply
209,5,want,entry,[]
210,5,want,letter,[]
211,5,want,throw,want <--RelatedTo-- waste --RelatedTo--> throw
212,5,excited,read,[]
213,5,excited,harvard,[]
214,5,excited,away,excited <--RelatedTo-- carried away --DerivedFrom--> away
215,5,excited,apply,[]
216,5,excited,entry,[]
217,5,excited,letter,[]
218,5,excited,throw,[]
219,5,got,read,got --Synonym--> have <--MannerOf-- read
220,5,got,harvard,[]
221,5,got,away,got <--RelatedTo-- go <--RelatedTo-- away
222,5,got,apply,got <--RelatedTo-- go --RelatedTo--> apply
223,5,got,entry,[]
224,5,got,letter,got <--RelatedTo-- piece <--RelatedTo-- letter
225,5,got,throw,got --HasContext--> slang <--HasContext-- throw
226,5,wa,read,wa --HasContext--> u --CapableOf--> read
227,5,wa,harvard,[]
228,5,wa,away,wa --RelatedTo--> be --RelatedTo--> away
229,5,wa,apply,wa --RelatedTo--> before <--RelatedTo-- apply
230,5,wa,entry,[]
231,5,wa,letter,wa --HasContext--> u --IsA--> letter
232,5,wa,throw,[]
233,5,skylar,read,[]
234,5,skylar,harvard,[]
235,5,skylar,away,[]
236,5,skylar,apply,[]
237,5,skylar,entry,[]
238,5,skylar,letter,[]
239,5,skylar,throw,[]
240,5,mail,read,mail --HasContext--> u --CapableOf--> read
241,5,mail,harvard,[]
242,5,mail,away,mail --MannerOf--> send <--RelatedTo-- away
243,5,mail,apply,mail --MannerOf--> send <--RelatedTo-- apply
244,5,mail,entry,mail <--MannerOf-- register --RelatedTo--> entry
245,5,mail,letter,mail --RelatedTo--> letter
246,5,mail,throw,mail <--RelatedTo-- deliver --MannerOf--> throw
247,5,letter,read,letter --IsA--> text --ReceivesAction--> read
248,5,letter,harvard,[]
249,5,letter,away,letter --RelatedTo--> send <--RelatedTo-- away
250,5,letter,apply,letter --RelatedTo--> send <--RelatedTo-- apply
251,5,letter,entry,letter --RelatedTo--> element <--Synonym-- entry
252,5,letter,letter,letter
253,5,letter,throw,letter <--RelatedTo-- pitch --IsA--> throw
254,6,giant,pipe,giant --HasContext--> computing <--HasContext-- pipe
255,6,giant,pile,giant <--RelatedTo-- mountain --RelatedTo--> pile
256,6,giant pile,pipe,[]
257,6,giant pile,pile,[]
258,6,rigid,pipe,rigid <--RelatedTo-- pipe
259,6,rigid,pile,rigid <--RelatedTo-- set --RelatedTo--> pile
260,6,wa,pipe,wa --HasContext--> u <--HasContext-- pipe
261,6,wa,pile,[]
262,6,pipe,pipe,pipe
263,6,pipe,pile,pipe --RelatedTo--> fabric <--RelatedTo-- pile
264,6,burst,pipe,[]
265,6,burst,pile,[]
266,6,eased,pipe,[]
267,6,eased,pile,[]
268,6,pile,pipe,pile --RelatedTo--> fabric <--RelatedTo-- pipe
269,6,pile,pile,pile
270,7,people,kevin,[]
271,7,people,lawrence,[]
272,7,crowd,kevin,[]
273,7,crowd,lawrence,[]
274,7,new,kevin,[]
275,7,new,lawrence,[]
276,7,lawrence,kevin,[]
277,7,lawrence,lawrence,lawrence
278,7,new york city,kevin,[]
279,7,new york city,lawrence,[]
280,7,visiting,kevin,[]
281,7,visiting,lawrence,[]
282,7,not lawrence,kevin,[]
283,7,not lawrence,lawrence,[]
284,7,york,kevin,york --HasContext--> slang <--HasContext-- kevin
285,7,york,lawrence,york --RelatedTo--> county seat <--RelatedTo-- lawrence
286,7,hate,kevin,[]
287,7,hate,lawrence,[]
288,7,interested,kevin,[]
289,7,interested,lawrence,[]
290,7,city,kevin,[]
291,7,city,lawrence,city --RelatedTo--> kansa <--PartOf-- lawrence
292,7,interested kevin,kevin,[]
293,7,interested kevin,lawrence,[]
294,7,kevin,kevin,kevin
295,7,kevin,lawrence,[]
296,8,graduated,open,[]
297,8,graduated,decided,[]
298,8,graduated,jim,[]
299,8,graduated,devise,[]
300,8,graduated,repayment,[]
301,8,graduated,plan,graduated <--MotivatedByGoal-- receive degree --HasPrerequisite--> plan
302,8,graduated,card,[]
303,8,graduated,another credit card,[]
304,8,graduated,credit,[]
305,8,realized,open,[]
306,8,realized,decided,[]
307,8,realized,jim,[]
308,8,realized,devise,[]
309,8,realized,repayment,[]
310,8,realized,plan,[]
311,8,realized,card,[]
312,8,realized,another credit card,[]
313,8,realized,credit,[]
314,8,so much money,open,[]
315,8,so much money,decided,[]
316,8,so much money,jim,[]
317,8,so much money,devise,[]
318,8,so much money,repayment,[]
319,8,so much money,plan,[]
320,8,so much money,card,[]
321,8,so much money,another credit card,[]
322,8,so much money,credit,[]
323,8,debt,open,debt --RelatedTo--> action <--RelatedTo-- open
324,8,debt,decided,[]
325,8,debt,jim,[]
326,8,debt,devise,debt <--RelatedTo-- law <--HasContext-- devise
327,8,debt,repayment,debt --RelatedTo--> money <--RelatedTo-- repayment
328,8,debt,plan,debt --RelatedTo--> bill --RelatedTo--> plan
329,8,debt,card,debt --RelatedTo--> card
330,8,debt,another credit card,[]
331,8,debt,credit,debt --RelatedTo--> credit
332,8,bought,open,bought --DerivedFrom--> t --RelatedTo--> open
333,8,bought,decided,[]
334,8,bought,jim,[]
335,8,bought,devise,bought <--RelatedTo-- property <--RelatedTo-- devise
336,8,bought,repayment,[]
337,8,bought,plan,[]
338,8,bought,card,bought <--RelatedTo-- property --RelatedTo--> card
339,8,bought,another credit card,[]
340,8,bought,credit,[]
341,8,"$10,000 debt",open,[]
342,8,"$10,000 debt",decided,[]
343,8,"$10,000 debt",jim,[]
344,8,"$10,000 debt",devise,[]
345,8,"$10,000 debt",repayment,[]
346,8,"$10,000 debt",plan,[]
347,8,"$10,000 debt",card,[]
348,8,"$10,000 debt",another credit card,[]
349,8,"$10,000 debt",credit,[]
350,8,$,open,[]
351,8,$,decided,[]
352,8,$,jim,[]
353,8,$,devise,[]
354,8,$,repayment,[]
355,8,$,plan,[]
356,8,$,card,[]
357,8,$,another credit card,[]
358,8,$,credit,[]
359,8,got,open,got <--RelatedTo-- country --RelatedTo--> open
360,8,got,decided,[]
361,8,got,jim,[]
362,8,got,devise,[]
363,8,got,repayment,[]
364,8,got,plan,[]
365,8,got,card,got <--RelatedTo-- piece <--RelatedTo-- card
366,8,got,another credit card,[]
367,8,got,credit,[]
368,8,next sentence,open,[]
369,8,next sentence,decided,[]
370,8,next sentence,jim,[]
371,8,next sentence,devise,[]
372,8,next sentence,repayment,[]
373,8,next sentence,plan,[]
374,8,next sentence,card,[]
375,8,next sentence,another credit card,[]
376,8,next sentence,credit,[]
377,8,wa,open,wa <--RelatedTo-- t --RelatedTo--> open
378,8,wa,decided,[]
379,8,wa,jim,[]
380,8,wa,devise,[]
381,8,wa,repayment,[]
382,8,wa,plan,wa --HasContext--> u <--HasContext-- plan
383,8,wa,card,wa --RelatedTo--> used <--RelatedTo-- card
384,8,wa,another credit card,[]
385,8,wa,credit,wa --HasContext--> u <--HasContext-- credit
386,8,his first credit card,open,[]
387,8,his first credit card,decided,[]
388,8,his first credit card,jim,[]
389,8,his first credit card,devise,[]
390,8,his first credit card,repayment,[]
391,8,his first credit card,plan,[]
392,8,his first credit card,card,[]
393,8,his first credit card,another credit card,[]
394,8,his first credit card,credit,[]
395,8,college,open,college <--RelatedTo-- cut --RelatedTo--> open
396,8,college,decided,[]
397,8,college,jim,college --RelatedTo--> kid <--HasA-- jim
398,8,college,devise,[]
399,8,college,repayment,[]
400,8,college,plan,college --RelatedTo--> people --CapableOf--> plan
401,8,college,card,college --RelatedTo--> four <--RelatedTo-- card
402,8,college,another credit card,[]
403,8,college,credit,college <--RelatedTo-- merit --RelatedTo--> credit
